"pathway","cell_type","outdegree","indegree","flowbet","info"
"CD40","TNK cells",0,0,0,0
"CD40","Tregs",0,0,0,0
"CLDN","B cells",0,0,0,0
"CLDN","Basal epithelial",0,0,0,0
"CLDN","CD4 T cells (Th)",0,0,0,0
"CLDN","CD8 T cells (CTL)",0,0,0,0
"CLDN","Endothelial cells",0,0,0,0
"CLDN","Epithelial cells",5.33544089742527e-05,5.33544089742527e-05,0,0
"CLDN","Fibroblasts",0,0,0,0
"CLDN","Mast cells",0,0,0,0
"CLDN","Monocytes",0,0,0,0
"CLDN","Myeloid (Mac/DC)",0,0,0,0
"CLDN","NK cells",0,0,0,0
"CLDN","PDC/Plasma cells",0,0,0,0
"CLDN","Pericytes",0,0,0,0
"CLDN","TNK cells",0,0,0,0
"CLDN","Tregs",0,0,0,0
"CSF","B cells",0,0,0,0
"CSF","Basal epithelial",0,0,0,0
"CSF","CD4 T cells (Th)",0,0,0,0
"CSF","CD8 T cells (CTL)",0,0,0,0
"CSF","Endothelial cells",0,0,0,0
"CSF","Epithelial cells",0,0,0,0
"CSF","Fibroblasts",0,0,0,0
"CSF","Mast cells",4.9835031188299e-05,0,0,0
"CSF","Monocytes",0,0,0,0
"CSF","Myeloid (Mac/DC)",0,4.9835031188299e-05,0,0
"CSF","NK cells",0,0,0,0
"CSF","PDC/Plasma cells",0,0,0,0
"CSF","Pericytes",0,0,0,0
"CSF","TNK cells",0,0,0,0
"CSF","Tregs",0,0,0,0
"CD86","B cells",0,0,0,0
"CD86","Basal epithelial",0,0,0,0
"CD86","CD4 T cells (Th)",0,0,0,0
"CD86","CD8 T cells (CTL)",0,0,0,0
"CD86","Endothelial cells",0,0,0,0
"CD86","Epithelial cells",0,0,0,0
"CD86","Fibroblasts",0,0,0,0
"CD86","Mast cells",0,0,0,0
"CD86","Monocytes",0,0,0,0
"CD86","Myeloid (Mac/DC)",3.07582985541619e-05,0,0,0
"CD86","NK cells",0,0,0,0
"CD86","PDC/Plasma cells",0,0,0,0
"CD86","Pericytes",0,0,0,0
"CD86","TNK cells",0,0,0,0
"CD86","Tregs",0,3.07582985541619e-05,0,0
"GDF","B cells",0,0,0,0
"GDF","Basal epithelial",0,0,0,0
"GDF","CD4 T cells (Th)",0,0,0,0
"GDF","CD8 T cells (CTL)",0,0,0,0
"GDF","Endothelial cells",0,2.64471485290496e-05,0,0.5
"GDF","Epithelial cells",2.64471485290496e-05,0,0,0.5
"GDF","Fibroblasts",0,0,0,0
